id,Product,Price,Items_left,Image_url
1,Yams,$15.68,83,http://dummyimage.com/220x100.png/dddddd/000000
2,Tea - Decaf Lipton,$73.44,26,http://dummyimage.com/179x100.png/dddddd/000000
3,Wine - Niagara Peninsula Vqa,$22.32,55,http://dummyimage.com/170x100.png/dddddd/000000
4,Veal - Nuckle,$67.70,39,http://dummyimage.com/139x100.png/dddddd/000000
5,Cup - 4oz Translucent,$72.08,15,http://dummyimage.com/226x100.png/5fa2dd/ffffff
6,"Pasta - Fusili, Dry",$44.20,67,http://dummyimage.com/187x100.png/dddddd/000000
7,Tomato - Plum With Basil,$61.06,88,http://dummyimage.com/238x100.png/dddddd/000000
8,Syrup - Chocolate,$57.54,93,http://dummyimage.com/143x100.png/5fa2dd/ffffff
9,Pasta - Canelloni,$23.70,32,http://dummyimage.com/105x100.png/cc0000/ffffff
10,Venison - Denver Leg Boneless,$12.29,29,http://dummyimage.com/153x100.png/cc0000/ffffff
11,Bar Mix - Lime,$53.73,2,http://dummyimage.com/131x100.png/5fa2dd/ffffff
12,"Clams - Littleneck, Whole",$32.71,75,http://dummyimage.com/199x100.png/5fa2dd/ffffff
13,Gatorade - Orange,$13.72,59,http://dummyimage.com/137x100.png/5fa2dd/ffffff
14,Squid - Breaded,$29.68,26,http://dummyimage.com/165x100.png/dddddd/000000
15,Onions Granulated,$75.68,17,http://dummyimage.com/199x100.png/ff4444/ffffff
16,"Sauce - Bernaise, Mix",$85.48,73,http://dummyimage.com/206x100.png/dddddd/000000
17,Coffee Cup 16oz Foam,$64.81,31,http://dummyimage.com/117x100.png/dddddd/000000
18,"Wine - White, Gewurtzraminer",$45.69,72,http://dummyimage.com/242x100.png/cc0000/ffffff
19,Herb Du Provence - Primerba,$35.80,82,http://dummyimage.com/227x100.png/ff4444/ffffff
20,Beef Striploin Aaa,$64.60,78,http://dummyimage.com/160x100.png/5fa2dd/ffffff
21,Gatorade - Fruit Punch,$81.26,12,http://dummyimage.com/185x100.png/5fa2dd/ffffff
22,Pie Filling - Apple,$91.58,63,http://dummyimage.com/203x100.png/cc0000/ffffff
23,Tea - Orange Pekoe,$86.88,39,http://dummyimage.com/120x100.png/cc0000/ffffff
24,Chicken - Livers,$35.13,88,http://dummyimage.com/153x100.png/cc0000/ffffff
25,Lettuce - Romaine,$62.92,57,http://dummyimage.com/227x100.png/ff4444/ffffff
26,"Mushroom - Shitake, Dry",$89.06,17,http://dummyimage.com/165x100.png/dddddd/000000
27,Capers - Pickled,$15.45,97,http://dummyimage.com/125x100.png/5fa2dd/ffffff
28,Mcguinness - Blue Curacao,$84.01,76,http://dummyimage.com/201x100.png/5fa2dd/ffffff
29,Mountain Dew,$89.79,82,http://dummyimage.com/110x100.png/5fa2dd/ffffff
30,Ham - Proscuitto,$40.11,74,http://dummyimage.com/131x100.png/cc0000/ffffff
31,"Shrimp - Baby, Warm Water",$63.75,97,http://dummyimage.com/175x100.png/cc0000/ffffff
32,Nori Sea Weed,$89.50,13,http://dummyimage.com/135x100.png/dddddd/000000
33,Milk - Condensed,$48.93,29,http://dummyimage.com/179x100.png/5fa2dd/ffffff
34,Emulsifier,$94.45,74,http://dummyimage.com/238x100.png/ff4444/ffffff
35,"Beef - Ground, Extra Lean, Fresh",$11.73,26,http://dummyimage.com/114x100.png/5fa2dd/ffffff
36,Mix - Cappucino Cocktail,$65.33,75,http://dummyimage.com/176x100.png/5fa2dd/ffffff
37,"Tomatoes - Vine Ripe, Red",$71.97,84,http://dummyimage.com/245x100.png/cc0000/ffffff
38,Wine - Cotes Du Rhone,$49.75,43,http://dummyimage.com/184x100.png/dddddd/000000
39,Chocolate - Dark Callets,$91.45,29,http://dummyimage.com/243x100.png/cc0000/ffffff
40,"Salsify, Organic",$98.30,100,http://dummyimage.com/186x100.png/5fa2dd/ffffff
41,Lamb Leg - Bone - In Nz,$56.67,79,http://dummyimage.com/198x100.png/ff4444/ffffff
42,"Lettuce - Romaine, Heart",$99.86,30,http://dummyimage.com/141x100.png/dddddd/000000
43,Chutney Sauce,$87.27,75,http://dummyimage.com/232x100.png/cc0000/ffffff
44,Buttons,$41.03,89,http://dummyimage.com/133x100.png/ff4444/ffffff
45,Cilantro / Coriander - Fresh,$60.30,4,http://dummyimage.com/102x100.png/5fa2dd/ffffff
46,Bar Nature Valley,$50.48,38,http://dummyimage.com/164x100.png/dddddd/000000
47,Sardines,$54.16,54,http://dummyimage.com/131x100.png/5fa2dd/ffffff
48,Eggplant Italian,$15.03,71,http://dummyimage.com/107x100.png/ff4444/ffffff
49,Kellogs All Bran Bars,$22.13,78,http://dummyimage.com/221x100.png/ff4444/ffffff
50,Graham Cracker Mix,$91.00,49,http://dummyimage.com/109x100.png/ff4444/ffffff
51,Capers - Ox Eye Daisy,$77.74,17,http://dummyimage.com/122x100.png/cc0000/ffffff
52,Lettuce - Romaine,$32.80,85,http://dummyimage.com/178x100.png/cc0000/ffffff
53,Tomatoes - Cherry,$63.30,36,http://dummyimage.com/146x100.png/dddddd/000000
54,Chevere Logs,$30.48,9,http://dummyimage.com/201x100.png/5fa2dd/ffffff
55,Chocolate - Dark,$93.51,58,http://dummyimage.com/243x100.png/cc0000/ffffff
56,"Water - Mineral, Natural",$69.21,15,http://dummyimage.com/153x100.png/ff4444/ffffff
57,Whmis Spray Bottle Graduated,$48.77,66,http://dummyimage.com/233x100.png/cc0000/ffffff
58,Tray - 12in Rnd Blk,$19.73,22,http://dummyimage.com/210x100.png/dddddd/000000
59,"Mushroom - Trumpet, Dry",$53.20,86,http://dummyimage.com/128x100.png/cc0000/ffffff
60,"Olives - Black, Pitted",$77.03,99,http://dummyimage.com/142x100.png/ff4444/ffffff
61,Cheese - Brick With Pepper,$14.71,40,http://dummyimage.com/161x100.png/5fa2dd/ffffff
62,Juice - Lagoon Mango,$96.40,14,http://dummyimage.com/169x100.png/dddddd/000000
63,Chocolate Eclairs,$17.26,52,http://dummyimage.com/145x100.png/dddddd/000000
64,Cheese - Perron Cheddar,$71.54,37,http://dummyimage.com/249x100.png/dddddd/000000
65,Compound - Pear,$54.42,81,http://dummyimage.com/163x100.png/cc0000/ffffff
66,Onions - Green,$99.75,64,http://dummyimage.com/115x100.png/5fa2dd/ffffff
67,"Trout - Hot Smkd, Dbl Fillet",$10.26,11,http://dummyimage.com/149x100.png/5fa2dd/ffffff
68,Sterno - Chafing Dish Fuel,$28.01,22,http://dummyimage.com/204x100.png/dddddd/000000
69,Wine - Clavet Saint Emilion,$71.61,10,http://dummyimage.com/122x100.png/ff4444/ffffff
70,"Cheese - Brie,danish",$28.98,96,http://dummyimage.com/133x100.png/ff4444/ffffff
71,Longos - Greek Salad,$99.93,48,http://dummyimage.com/200x100.png/cc0000/ffffff
72,Veal - Leg,$49.38,56,http://dummyimage.com/187x100.png/dddddd/000000
73,Chicken - Leg / Back Attach,$71.94,97,http://dummyimage.com/173x100.png/cc0000/ffffff
74,Beets - Mini Golden,$19.68,33,http://dummyimage.com/242x100.png/5fa2dd/ffffff
75,"Bread - White, Sliced",$58.83,91,http://dummyimage.com/189x100.png/5fa2dd/ffffff
76,Container - Foam Dixie 12 Oz,$25.10,41,http://dummyimage.com/224x100.png/cc0000/ffffff
77,Schnappes Peppermint - Walker,$74.08,80,http://dummyimage.com/132x100.png/ff4444/ffffff
78,"Soup - French Onion, Dry",$60.85,44,http://dummyimage.com/122x100.png/ff4444/ffffff
79,Versatainer Nc - 9388,$93.09,53,http://dummyimage.com/219x100.png/dddddd/000000
80,Kellogs Raisan Bran Bars,$56.65,51,http://dummyimage.com/231x100.png/dddddd/000000
81,Turkey - Oven Roast Breast,$49.65,57,http://dummyimage.com/190x100.png/dddddd/000000
82,Thyme - Dried,$98.15,83,http://dummyimage.com/250x100.png/dddddd/000000
83,Nori Sea Weed - Gold Label,$91.08,73,http://dummyimage.com/194x100.png/dddddd/000000
84,Lobak,$65.62,27,http://dummyimage.com/162x100.png/cc0000/ffffff
85,"Fish - Base, Bouillion",$89.26,44,http://dummyimage.com/124x100.png/dddddd/000000
86,Wine - Placido Pinot Grigo,$25.90,66,http://dummyimage.com/150x100.png/dddddd/000000
87,"Hickory Smoke, Liquid",$74.01,62,http://dummyimage.com/175x100.png/dddddd/000000
88,Wine - Stoneliegh Sauvignon,$50.85,25,http://dummyimage.com/205x100.png/cc0000/ffffff
89,"Sauce - Black Current, Dry Mix",$97.76,32,http://dummyimage.com/200x100.png/ff4444/ffffff
90,Raspberries - Fresh,$61.95,22,http://dummyimage.com/230x100.png/5fa2dd/ffffff
91,Wine - Rosso Toscano Igt,$49.09,54,http://dummyimage.com/130x100.png/ff4444/ffffff
92,"Fish - Atlantic Salmon, Cold",$82.20,40,http://dummyimage.com/219x100.png/ff4444/ffffff
93,Lamb - Shanks,$52.31,33,http://dummyimage.com/240x100.png/5fa2dd/ffffff
94,Turkey - Oven Roast Breast,$84.91,38,http://dummyimage.com/142x100.png/ff4444/ffffff
95,The Pop Shoppe - Lime Rickey,$88.58,19,http://dummyimage.com/119x100.png/ff4444/ffffff
96,Wiberg Cure,$61.61,20,http://dummyimage.com/123x100.png/cc0000/ffffff
97,Fruit Salad Deluxe,$40.91,35,http://dummyimage.com/162x100.png/dddddd/000000
98,Pepper - Chili Powder,$97.68,26,http://dummyimage.com/200x100.png/5fa2dd/ffffff
99,Octopus,$59.33,23,http://dummyimage.com/248x100.png/cc0000/ffffff
100,Sugar - Crumb,$85.04,53,http://dummyimage.com/126x100.png/cc0000/ffffff
101,"Shrimp - 16 - 20 Cooked, Peeled",$27.76,29,http://dummyimage.com/223x100.png/cc0000/ffffff
102,Tarragon - Fresh,$66.45,75,http://dummyimage.com/243x100.png/cc0000/ffffff
103,Lobster - Canned Premium,$18.59,56,http://dummyimage.com/223x100.png/dddddd/000000
104,Beef - Kobe Striploin,$42.86,67,http://dummyimage.com/122x100.png/5fa2dd/ffffff
105,Appetizer - Veg Assortment,$47.32,40,http://dummyimage.com/151x100.png/5fa2dd/ffffff
106,Vinegar - Sherry,$23.45,37,http://dummyimage.com/116x100.png/ff4444/ffffff
107,Veal - Striploin,$92.09,2,http://dummyimage.com/127x100.png/5fa2dd/ffffff
108,Pork - Bacon Cooked Slcd,$87.35,91,http://dummyimage.com/190x100.png/ff4444/ffffff
109,Appetiser - Bought,$87.87,57,http://dummyimage.com/106x100.png/dddddd/000000
110,Propel Sport Drink,$90.29,90,http://dummyimage.com/242x100.png/ff4444/ffffff
111,"Tart Shells - Savory, 3",$45.33,27,http://dummyimage.com/111x100.png/dddddd/000000
112,Towel Multifold,$89.13,49,http://dummyimage.com/195x100.png/dddddd/000000
113,"Water, Tap",$39.84,19,http://dummyimage.com/153x100.png/cc0000/ffffff
114,Muffin Orange Individual,$53.39,56,http://dummyimage.com/156x100.png/ff4444/ffffff
