Product,Price,Items_left,Image_url,id
The Macallan 12 Years Scotch Whiskey 70cl,46.49,29  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/1028722/1.jpg?0242,1
The Macallan Double Cask 18 Years Old 70cl,214.16,18  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/1028722/1.jpg?0384,2
The Macallan Double Cask 15 Years Old 70cl,100.99,16  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/1028722/1.jpg?0328,3
The Macallan Rare Cask 70cl,205.18,9  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/1028722/1.jpg?7362,4
XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Dreamy Purple,92.54,23  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/3573373/1.jpg?4687,5
Men's Pants Straight Loose Trousers Joggers,2.59,1  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/1148872/1.jpg?4745,6
Absolute High Quality Colorless Lipgloss(1 PIECE),0.26,21  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/0196612/1.jpg?4273,7
Ace Elec 20000 MAh Utra Slim Portable Power Bank,4.88,915  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6704752/1.jpg?2823,8
Oraimo Traveler 4 20000mAh 10.5W Power Banks,7.94,147  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/6573643/1.jpg?4617,9
N003 Ladies Fashion Natural Necklace Pearls-White,0.41,5  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/929159/1.jpg?6574,10
Handheld Fascia Massage Gun Muscle Relaxation With 4 Heads,8.71,37  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/6653852/1.jpg?6009,11
LA Girl Dark Cocoa Concealer,0.59,21  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/3542142/1.jpg?1226,12
Silver Crest 2L Industrial 8500W Food Crusher Blender With 2 In 1 Functionality,13.11,40  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/8963283/1.jpg?2976,13
Malta Guinness Can 330ml x24,9.71,13  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/612838/1.jpg?8993,14
1pcs Anti-Rust Bathroom Storage Shelf Rack Holder,3.35,10  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/4023042/1.jpg?4858,15
Guinness Foreign Extra Stout Can 330ml x24,15.41,1  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/612838/1.jpg?1518,16
